epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,345.772,1.50681,0.91006,0.00338,0.51402,0.52632,0.52641,0.29719,1.50465,0.87758,0.00515,0.000424187,0.000424187,0.000424187
43,356.282,1.51549,0.91102,0.00334,0.47337,0.57431,0.52045,0.30572,1.48487,0.87763,0.00504,0.000417119,0.000417119,0.000417119
44,367.18,1.49075,0.89708,0.00328,0.47751,0.55945,0.50136,0.28856,1.53068,0.92836,0.0053,0.00041005,0.00041005,0.00041005
45,377.899,1.49166,0.89593,0.00322,0.43862,0.54047,0.50718,0.29059,1.49313,0.93757,0.00506,0.000402982,0.000402982,0.000402982
46,388.511,1.48765,0.88539,0.00326,0.43782,0.51668,0.50247,0.28749,1.52655,0.88532,0.00519,0.000395913,0.000395913,0.000395913
47,399.274,1.48886,0.88439,0.0033,0.46217,0.51979,0.49576,0.28741,1.50639,0.90015,0.00504,0.000388844,0.000388844,0.000388844
48,410.896,1.50069,0.88806,0.00318,0.48188,0.54798,0.51588,0.29719,1.48257,0.86505,0.005,0.000381776,0.000381776,0.000381776
49,421.242,1.48906,0.87221,0.00327,0.37683,0.50274,0.51053,0.29974,1.48685,0.87823,0.00502,0.000374707,0.000374707,0.000374707
50,431.736,1.48041,0.87141,0.00324,0.45326,0.58196,0.53587,0.3171,1.47608,0.857,0.005,0.000367639,0.000367639,0.000367639
51,442.23,1.49302,0.86597,0.00327,0.46469,0.60309,0.53992,0.31835,1.48513,0.89842,0.00502,0.00036057,0.00036057,0.00036057
52,453.257,1.49473,0.86788,0.00324,0.48353,0.61166,0.53477,0.31461,1.49073,0.84713,0.00498,0.000353501,0.000353501,0.000353501
53,463.641,1.47287,0.85229,0.00315,0.4556,0.55427,0.5384,0.32677,1.47276,0.84921,0.00484,0.000346433,0.000346433,0.000346433
54,474.078,1.48226,0.8578,0.00315,0.46327,0.58224,0.55321,0.33315,1.48955,0.84681,0.00505,0.000339364,0.000339364,0.000339364
55,485.21,1.47908,0.85197,0.00314,0.65084,0.49354,0.54575,0.32466,1.52738,0.83528,0.00524,0.000332296,0.000332296,0.000332296
56,497.034,1.48992,0.85743,0.00318,0.69087,0.4549,0.53242,0.33058,1.49069,0.85036,0.00497,0.000325227,0.000325227,0.000325227
57,508.407,1.44827,0.84297,0.00319,0.5234,0.51904,0.52994,0.31421,1.50725,0.86405,0.00512,0.000318158,0.000318158,0.000318158
58,519.239,1.45377,0.83409,0.00316,0.47637,0.53651,0.52098,0.31825,1.47996,0.84185,0.00497,0.00031109,0.00031109,0.00031109
59,530.07,1.45898,0.82137,0.00311,0.50183,0.57024,0.53876,0.31679,1.51043,0.86166,0.00504,0.000304021,0.000304021,0.000304021
60,541.006,1.44879,0.82563,0.00316,0.47196,0.56235,0.53715,0.32127,1.49797,0.84216,0.00506,0.000296953,0.000296953,0.000296953
61,552.192,1.44508,0.81666,0.00309,0.44107,0.54956,0.52264,0.31244,1.49569,0.84315,0.00507,0.000289884,0.000289884,0.000289884
62,562.996,1.48442,0.83314,0.00315,0.46292,0.54292,0.54066,0.32805,1.49316,0.82138,0.005,0.000282815,0.000282815,0.000282815
63,574.227,1.44651,0.80837,0.00303,0.45728,0.5512,0.53019,0.31709,1.47014,0.84409,0.00493,0.000275747,0.000275747,0.000275747
64,586.048,1.44471,0.81437,0.00304,0.44498,0.55838,0.52254,0.31368,1.48514,0.85006,0.00496,0.000268678,0.000268678,0.000268678
65,597.239,1.45913,0.81834,0.0031,0.57095,0.48801,0.52015,0.31057,1.49336,0.83486,0.00507,0.00026161,0.00026161,0.00026161
66,608.522,1.44829,0.81409,0.00307,0.45005,0.54953,0.53345,0.31849,1.48744,0.82259,0.00497,0.000254541,0.000254541,0.000254541
67,619.88,1.43601,0.80715,0.00306,0.45553,0.56444,0.53306,0.32537,1.50347,0.84304,0.00508,0.000247472,0.000247472,0.000247472
68,632.008,1.42994,0.78638,0.00302,0.50804,0.57961,0.5471,0.32608,1.47732,0.84766,0.00497,0.000240404,0.000240404,0.000240404
69,643.441,1.43435,0.79022,0.003,0.48534,0.55696,0.54149,0.32855,1.48199,0.84036,0.00503,0.000233335,0.000233335,0.000233335
70,655.06,1.43016,0.79437,0.00304,0.53096,0.58135,0.57307,0.33878,1.47728,0.8363,0.00495,0.000226267,0.000226267,0.000226267
71,666.263,1.43559,0.79718,0.00303,0.65582,0.52438,0.57476,0.34637,1.47918,0.82302,0.00499,0.000219198,0.000219198,0.000219198
72,677.663,1.43506,0.79305,0.00297,0.5069,0.58526,0.55152,0.32878,1.48703,0.84253,0.005,0.000212129,0.000212129,0.000212129
73,689.329,1.41183,0.77826,0.00306,0.55772,0.58842,0.5681,0.34064,1.48364,0.83223,0.00501,0.000205061,0.000205061,0.000205061
74,700.805,1.41452,0.78181,0.00302,0.5261,0.58052,0.55649,0.33044,1.48849,0.83129,0.00502,0.000197992,0.000197992,0.000197992
75,712.334,1.41273,0.78326,0.00292,0.53633,0.57053,0.56496,0.34626,1.48107,0.83006,0.00499,0.000190924,0.000190924,0.000190924
76,723.722,1.43638,0.80181,0.00297,0.57642,0.55485,0.57474,0.34741,1.46462,0.84345,0.00493,0.000183855,0.000183855,0.000183855
77,735.531,1.43372,0.77845,0.00294,0.59933,0.56908,0.5805,0.34502,1.47455,0.84644,0.00495,0.000176786,0.000176786,0.000176786
